instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries,pnl,ce cum pnl,pe cum pnl,cum pnl
MIDCPNIFTY,08/01/24 0:00,10 10,40,17.75,10.5,1,1,15.15,-12.1,2,1,-1.6,-30.9,129.3,98.4
MIDCPNIFTY,15/01/24 0:00,10 10,40,17.85,-14.3,2,1,24.6,24.6,0,0,10.3,-45.2,153.9,108.7
MIDCPNIFTY,29/01/24 0:00,10 10,40,37.6,-15,1,0,29.25,17.5,1,1,2.5,-60.2,171.4,111.2
MIDCPNIFTY,05/02/24 0:00,10 10,40,29.6,29.6,0,0,30.4,-24.3,2,1,5.3,-30.6,147.1,116.5
MIDCPNIFTY,12/02/24 0:00,10 10,40,23.3,23.2,0,0,21.5,-17.2,2,1,6,-7.4,129.9,122.5
MIDCPNIFTY,19/02/24 0:00,10 10,40,21.75,-17.4,2,1,14,11,0,0,-6.4,-24.8,140.9,116.1
MIDCPNIFTY,11/03/24 0:00,10 10,40,16.45,9.8,1,1,26.65,3.2,0,0,13,-15,144.1,129.1
MIDCPNIFTY,18/03/24 0:00,10 10,40,47.5,47.4,0,0,60.95,-48.8,2,1,-1.4,32.4,95.3,127.7
MIDCPNIFTY,22/03/24 0:00,10 10,40,17.95,8.7,1,1,28.55,28.5,0,0,37.2,41.1,123.8,164.9
MIDCPNIFTY,01/04/24 0:00,10 10,40,16.2,-13,2,1,31.65,31.6,0,0,18.6,28.1,155.4,183.5
MIDCPNIFTY,08/04/24 0:00,10 10,40,28,16.8,1,1,23.5,-18.8,2,1,-2,44.9,136.6,181.5
MIDCPNIFTY,15/04/24 0:00,10 10,40,31.15,29.9,0,0,26.25,26.2,0,0,56.1,74.8,162.8,237.6
MIDCPNIFTY,22/04/24 0:00,10 10,40,23.25,23.2,0,0,25.3,-20.2,2,1,3,98,142.6,240.6
MIDCPNIFTY,29/04/24 0:00,10 10,40,15.45,-12.4,2,1,19.45,19.4,0,0,7,85.6,162,247.6
MIDCPNIFTY,06/05/24 0:00,10 10,40,31.95,31.9,0,0,19,6.3,1,1,38.2,117.5,168.3,285.8
MIDCPNIFTY,13/05/24 0:00,10 10,40,23.55,-18.8,2,1,32.3,19.3,1,1,0.5,98.7,187.6,286.3
MIDCPNIFTY,17/05/24 0:00,10 10,40,27,-21.6,2,1,22.75,22.7,0,0,1.1,77.1,210.3,287.4
MIDCPNIFTY,27/05/24 0:00,10 10,40,48.45,-38.8,2,1,43.45,43.4,0,0,4.6,38.3,253.7,292
MIDCPNIFTY,03/06/24 0:00,10 10,40,64.7,41.9,0,0,59.75,59.7,0,0,101.6,80.2,313.4,393.6
MIDCPNIFTY,10/06/24 0:00,10 10,40,53.35,53.3,0,0,65.85,-52.7,2,1,0.6,133.5,260.7,394.2
MIDCPNIFTY,14/06/24 0:00,10 10,40,16.05,-6.4,1,0,24.95,24.9,0,0,18.5,127.1,285.6,412.7
MIDCPNIFTY,24/06/24 0:00,10 10,40,50.25,-40.2,2,1,40.35,40.3,0,0,0.1,86.9,325.9,412.8
MIDCPNIFTY,01/07/24 0:00,10 10,40,29.85,15.8,1,1,25.95,25.9,0,0,41.7,102.7,351.8,454.5
MIDCPNIFTY,08/07/24 0:00,10 10,40,34,20.4,1,1,32.85,-26.3,2,1,-5.9,123.1,325.5,448.6
MIDCPNIFTY,15/07/24 0:00,10 10,40,23.65,-18.9,2,1,34,-27.2,2,1,-46.1,104.2,298.3,402.5
MIDCPNIFTY,22/07/24 0:00,10 10,40,41.25,-16.5,1,0,45.65,45.6,0,0,29.1,87.7,343.9,431.6
MIDCPNIFTY,29/07/24 0:00,10 10,40,26.7,16,1,1,29.1,-23.3,2,1,-7.3,103.7,320.6,424.3
MIDCPNIFTY,05/08/24 0:00,10 10,40,32.6,32.6,0,0,49.85,-25.4,1,1,7.2,136.3,295.2,431.5
MIDCPNIFTY,12/08/24 0:00,10 10,40,40.6,-16.2,1,0,44.2,26.5,1,1,10.3,120.1,321.7,441.8
MIDCPNIFTY,19/08/24 0:00,10 10,40,40.4,-32.3,2,1,46.6,-37.3,2,1,-69.6,87.8,284.4,372.2
MIDCPNIFTY,26/08/24 0:00,10 10,40,25.85,25.8,0,0,35.1,-14,1,0,11.8,113.6,270.4,384
MIDCPNIFTY,02/09/24 0:00,10 10,40,19.1,19,0,0,20,-16,2,1,3,132.6,254.4,387
